중심 나이,>=-5,<+5,0년(비문해),0.5 ~ 3년,4 ~ 6년,7 ~ 9년,10 ~ 12년,13년 이상
50,5,51,16.0,17.0,18.0,19.0,21.0,22.0
55,51,56,16.0,17.0,18.0,19.0,21.0,22.0
56,51,62,16.0,17.0,18.0,19.0,21.0,22.0
57,52,63,16.0,17.0,18.0,19.0,21.0,22.0
58,53,64,16.0,17.0,18.0,19.0,21.0,22.0
59,54,65,16.0,17.0,18.0,19.0,21.0,22.0
60,55,66,16.0,17.0,18.0,19.0,20.0,22.0
61,56,67,16.0,17.0,18.0,19.0,20.0,22.0
62,57,68,16.0,17.0,18.0,19.0,20.0,22.0
63,58,69,16.0,17.0,18.0,19.0,20.0,22.0
64,59,70,16.0,17.0,18.0,19.0,20.0,22.0
65,60,71,16.0,17.0,18.0,19.0,20.0,22.0
66,61,72,16.0,17.0,18.0,19.0,20.0,22.0
67,62,73,16.0,16.0,18.0,19.0,20.0,22.0
68,63,74,16.0,16.0,18.0,19.0,20.0,22.0
69,64,75,16.0,16.0,18.0,19.0,20.0,22.0
70,65,76,16.0,16.0,18.0,19.0,20.0,22.0
71,66,77,16.0,16.0,18.0,19.0,20.0,22.0
72,67,78,16.0,16.0,18.0,19.0,20.0,22.0
73,68,79,16.0,16.0,18.0,19.0,20.0,22.0
74,69,80,16.0,16.0,18.0,19.0,20.0,22.0
75,70,81,16.0,16.0,18.0,19.0,20.0,22.0
76,71,82,16.0,16.0,18.0,19.0,20.0,22.0
77,72,83,16.0,16.0,18.0,19.0,20.0,22.0
78,73,84,16.0,16.0,18.0,19.0,20.0,22.0
79,74,85,15.0,16.0,18.0,19.0,20.0,22.0
80,75,86,15.0,16.0,18.0,19.0,20.0,22.0
85,81,86,15.0,16.0,17.0,19.0,20.0,22.0
94,86,95,15.0,16.0,17.0,18.0,20.0,21.0
