중심 나이,>=-5,<+5,0년(비문해),0.5 ~ 3년,4 ~ 6년,7 ~ 9년,10 ~ 12년,13년 이상
50,5,51,18.0,19.0,21.0,23.0,24.0,27.0
55,51,56,18.0,19.0,21.0,23.0,24.0,26.0
56,51,62,18.0,19.0,21.0,22.0,24.0,26.0
57,52,63,18.0,19.0,21.0,22.0,24.0,26.0
58,53,64,18.0,19.0,21.0,22.0,24.0,26.0
59,54,65,18.0,19.0,21.0,22.0,24.0,26.0
60,55,66,18.0,19.0,21.0,22.0,24.0,26.0
61,56,67,18.0,19.0,21.0,22.0,24.0,26.0
62,57,68,18.0,19.0,21.0,22.0,24.0,26.0
63,58,69,18.0,19.0,21.0,22.0,24.0,26.0
64,59,70,18.0,19.0,20.0,22.0,24.0,26.0
65,60,71,18.0,19.0,20.0,22.0,24.0,26.0
66,61,72,18.0,19.0,20.0,22.0,24.0,26.0
67,62,73,18.0,19.0,20.0,22.0,24.0,26.0
68,63,74,18.0,19.0,20.0,22.0,24.0,26.0
69,64,75,18.0,18.0,20.0,22.0,24.0,26.0
70,65,76,17.0,18.0,20.0,22.0,24.0,26.0
71,66,77,17.0,18.0,20.0,22.0,24.0,26.0
72,67,78,17.0,18.0,20.0,22.0,23.0,26.0
73,68,79,17.0,18.0,20.0,22.0,23.0,26.0
74,69,80,17.0,18.0,20.0,22.0,23.0,26.0
75,70,81,17.0,18.0,20.0,22.0,23.0,26.0
76,71,82,17.0,18.0,20.0,22.0,23.0,26.0
77,72,83,17.0,18.0,20.0,22.0,23.0,26.0
78,73,84,17.0,18.0,20.0,22.0,23.0,26.0
79,74,85,17.0,18.0,20.0,22.0,23.0,25.0
80,75,86,17.0,18.0,20.0,21.0,23.0,25.0
85,81,86,17.0,18.0,20.0,21.0,23.0,25.0
94,86,95,16.0,17.0,19.0,21.0,23.0,25.0
